Cod_setor,Cod_Grandes Regiões,Nome_Grande_Regiao,Cod_UF,Nome_da_UF,Cod_meso,Nome_da_meso,Cod_micro,Nome_da_micro,Cod_RM,Nome_da_RM,Cod_municipio,Nome_do_municipio,Cod_distrito,Nome_do_distrito,Cod_subdistrito,Nome_do_subdistrito,Cod_bairro,Nome_do_bairro,Situacao_setor,Tipo_setor,V001,V002,V003,V004,V005,V006,V007,V008,V009,V010,V011,V012
"354870805000047","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","158","511",3.23,1.96,1613.04,3450334.66,2255.4,3374916.13,1381.06,3040049.8,2112.75,3105005.55
"354870805000048","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","193","598",3.1,1.88,2865.1,8721459.74,3055.05,8719355.84,1712.36,5290078.6,2395.58,5765273.82
"354870805000049","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","149","458",3.07,1.49,1537.28,3095828.62,2140.7,3018551.74,1409.28,3598139.11,2121.55,3906685.2
"354870805000050","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","132","447",3.39,2.56,1138.37,1682673.17,1533.32,1660657.29,892.06,1387882.84,1474.17,1435606.71
"354870805000051","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","269","825",3.07,1.09,7063.66,25932365.6,7170.28,25557879.42,3746.78,21277521.8,5300.51,21866567.73
"354870805000052","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","265","804",3.03,1.84,6493.62,54957574.94,6910.88,55607962.65,3593.93,33376585.66,5130.22,39774844.36
"354870805000053","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","210","656",3.12,1.42,7020.78,71243598.46,7371.82,72222881.64,3479.44,35462708.58,5062.55,43603082.9
"354870805000054","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","266","684",2.57,1.53,3059.08,14916125.61,4089.03,15730771.01,2135.11,9574289.37,3348.25,10955845.31
"354870805000055","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","143","335",2.34,1.4,2836.36,12730058.51,3219.05,13219613.49,2161.23,10719498.49,2851.74,12181291.12
"354870805000056","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","134","379",2.83,1.53,3317.91,10974597.1,3420,10963041.86,2029.55,6659906.43,2625.18,7052226.41
"354870805000057","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","135","391",2.9,2.33,3423.3,12191754.35,3582.53,12188364.16,2094.49,7666618.84,2834.65,8280095.82
"354870805000058","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","122","345",2.83,1.45,4788.93,17894841,4868.75,17803727,2860.35,13184378.15,3821.92,13944782.97
"354870805000059","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","232","655",2.82,1.56,6718.76,58989229.62,6897.13,59326537.88,3625.83,34713790.22,4929.51,40782337.12
"354870805000060","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","149","447",3,1.92,2206.91,5985535.46,2717.6,5982749.13,1373.94,3681007.66,2165.97,4089075.08
"354870805000061","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708011",Centro,"1","0","320","923",2.88,2.79,2307.11,5669471.02,2477.43,5666047.16,1420,3775118.81,2007.34,4158227.84
"354870805000062","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708013",Nova Petrópolis,"1","0","174","523",3.01,1.24,5930.49,23202602.16,5999.45,23057841.3,3309.56,16639991.66,4442.84,17304991.13
"354870805000063","3",Região Sudeste,SP,São Paulo,"3515",Metropolitana de São Paulo,"35061",São Paulo,"20",RM São Paulo,"3548708",SÃO BERNARDO DO CAMPO,"354870805",SÃO BERNARDO DO CAMPO,"35487080500",SÃO BERNARDO DO CAMPO,"3548708013",Nova Petrópolis,"1","0","224","616",2.75,1.35,3996.95,12029050.79,4069.62,11951662.09,2302.69,8456064.98,3208.95,8876971.78
